sex,actual,ideal,difference
Male,215,190,25
Female,155,135,20
Male,195,155,40
Female,145,130,15
Female,110,100,10
Male,155,170,-15
Male,155,155,0
Female,114,110,4
Female,135,135,0
Male,180,171,9
Female,140,130,10
Male,145,155,-10
Male,220,200,20
Female,132,120,12
Male,208,190,18
Female,135,130,5
Male,180,165,15
Male,155,145,10
Female,152,135,17
Female,126,120,6
Male,155,170,-15
Female,135,125,10
Female,125,110,15
Male,155,190,-35
Male,160,150,10
Female,130,105,25
Male,150,150,0
Male,185,185,0
Male,200,190,10
Male,180,200,-20
Male,180,180,0
Female,173,135,38
Female,170,135,35
Female,170,125,45
Female,110,103,7
Female,150,140,10
Female,140,135,5
Female,135,125,10
Male,170,175,-5
Male,170,170,0
Female,116,116,0
Female,160,155,5
Female,122,120,2
Female,140,125,15
Female,122,122,0
Female,155,135,20
Female,120,115,5
Female,135,130,5
Male,195,185,10
Male,180,170,10
Male,185,175,10
Female,180,140,40
Female,155,126,29
Female,140,130,10
Female,105,103,2
Female,110,100,10
Female,100,95,5
Male,170,185,-15
Male,200,180,20
Female,125,115,10
Female,130,125,5
Female,138,130,8
Female,135,120,15
Female,131,125,6
Female,109,110,-1
Female,118,110,8
Male,160,170,-10
Female,118,125,-7
Female,120,110,10
Male,185,185,0
Female,120,115,5
Female,136,125,11
Female,180,165,15
Female,150,140,10
Male,142,145,-3
Female,130,125,5
Female,118,115,3
Female,112,108,4
Male,135,135,0
Female,166,140,26
Female,102,100,2
Male,185,175,10
Female,175,155,20
Male,190,165,25
Male,220,195,25
Female,130,120,10
Male,135,135,0
Male,163,178,-15
Male,160,160,0
Male,155,150,5
Female,110,100,10
Female,130,130,0
Female,103,105,-2
Female,135,125,10
Female,105,125,-20
Female,125,120,5
Female,110,100,10
Female,155,150,5
Male,160,175,-15
Female,103,101,2
Female,121,118,3
Male,145,145,0
Female,90,85,5
Female,133,125,8
Female,122,120,2
Female,126,120,6
Female,140,130,10
Male,190,200,-10
Female,140,125,15
Female,110,100,10
Male,117,123,-6
Male,175,200,-25
Male,175,170,5
Male,230,225,5
Female,140,130,10
Female,125,112,13
Female,113,113,0
Male,115,130,-15
Female,185,135,50
Female,150,125,25
Female,140,120,20
Female,120,110,10
Female,165,140,25
Female,130,120,10
Female,187,160,27
Female,150,120,30
Female,142,135,7
Male,168,163,5
Female,128,125,3
Female,110,99,11
Female,145,138,7
Female,135,125,10
Female,120,125,-5
Male,140,150,-10
Female,125,115,10
Male,190,175,15
Female,110,105,5
Female,135,125,10
Female,135,130,5
Male,190,190,0
Male,165,170,-5
Female,140,130,10
Female,145,130,15
Male,175,180,-5
Female,120,110,10
Female,138,140,-2
Female,125,115,10
Female,130,120,10
Male,208,190,18
Female,120,120,0
Female,160,145,15
Female,115,100,15
Female,145,130,15
Male,235,200,35
Male,175,170,5
Female,135,125,10
Female,130,120,10
Male,190,190,0
Female,120,110,10
Female,145,125,20
Female,130,120,10
Female,111,111,0
Male,195,200,-5
Female,97,100,-3
Female,160,140,20
Female,139,135,4
Female,115,115,0
Male,187,185,2
Female,130,125,5
Male,203,203,0
Male,215,210,5
Male,150,150,0
Male,220,200,20
Female,175,120,55
Male,170,170,0
Female,140,100,40
Female,130,120,10
Male,180,180,0
Female,125,120,5
Male,158,150,8
Female,130,130,0
Female,118,118,0
